"Prüfung","A:","Name","Note","age","TICKED:age","lAS1","TICKED:lAS1","lAS2","TICKED:lAS2","lAS3","TICKED:lAS3","lage","TICKED:lage","latent01","TICKED:latent01","latent02","TICKED:latent02","latent03","TICKED:latent03","latent04","TICKED:latent04","latent05","TICKED:latent05","latent06","TICKED:latent06","latent07","TICKED:latent07","latent08","TICKED:latent08","latent09","TICKED:latent09","latent10","TICKED:latent10","latent11","TICKED:latent11","latent12","TICKED:latent12","mAS1","TICKED:mAS1","mAS2","TICKED:mAS2","mAS3","TICKED:mAS3","mAS4","TICKED:mAS4","mAS5","TICKED:mAS5","polint","TICKED:polint","sex","TICKED:sex","v5a","TICKED:v5a"
"2","","?","0","","C","","B","","E","","D","","B","","E","","C","","B","","B","","B","","C","","B","","B","","D","","D","","B","","D","","D","","D","","D","","D","","D","","A","","B","","C"
"3","","?","0","","C","","B","","C","","D","","A","","D","","C","","B","","D","","B","","D","","D","","D","","D","","D","","B","","C","","D","","D","","D","","D","","D","","A","","A","","D"
"4","","?","0","","B","","D","","D","","D","","B","","C","","B","","A","","C","","C","","C","","B","","C","","C","","C","","C","","C","","D","","D","","D","","D","","D","","B","","B","","C"
"5","","?","0","","C","","D","","D","","D","","C","","E","","C","","A","","B","","C","","D","","C","","B","","B","","D","","C","","C","","D","","D","","D","","D","","D","","D","","B","","B"
"6","","?","0","","B","","B","","D","","D","","A","","E","","C","","A","","C","","C","","D","","E","","C","","C","","D","","D","","C","","D","","D","","D","","D","","D","","B","","B","","B"
"7","","?","0","","B","","C","","D","","D","","C","","C","","C","","A","","C","","B","","D","","C","","D","","B","","D","","B","","C","","D","","D","","D","","D","","D","","B","","B","","B"
"10","","?","0","","C","","D","","D","","D","","A","","D","","D","","A","","D","","A","","D","","D","","D","","D","","D","","B","","D","","D","","D","","D","","D","","D","","A","","A","","A"
"11","","?","0","","C","","D","","D","","D","","B","","D","","E","","A","","D","","A","","D","","C","","D","","C","","D","","B","","D","","D","","D","","D","","D","","D","","A","","A","","B"
"12","","?","0","","B","","C","","D","","D","","A","","C","","C","","B","","A","","D","","D","","D","","C","","B","","D","","E","","C","","D","","D","","D","","D","","D","","A","","B","","B"
"13","","?","0","","B","","D","","D","","D","","A","","B","","B","","A","","C","","C","","D","","A","","C","","C","","E","","B","","C","","D","","D","","D","","D","","D","","A","","B","","B"
"14","","?","0","","B","","E","","E","","E","","C","","D","","E","","A","","D","","A","","D","","E","","D","","E","","D","","A","","C","","E","","E","","E","","E","","E","","A","","B","","B"
"15","","?","0","","B","","D","","D","","D","","B","","C","","D","","A","","B","","B","","D","","C","","C","","C","","D","","B","","D","","D","","D","","D","","D","","D","","A","","A","","C"
"16","","?","0","","B","","B","","D","","D","","A","","D","","A","","A","","D","","C","","D","","D","","D","","D","","D","","D","","D","","D","","D","","D","","D","","D","","A","","A","","C"
"17","","?","0","","B","","B","","D","","D","","B","","C","","B","","A","","C","","C","","C","","C","","C","","D","","D","","B","","C","","D","","D","","D","","D","","D","","A","","A","","C"
"18","","?","0","","B","","B","","D","","D","","A","","C","","B","","A","","D","","C","","D","","D","","C","","C","","D","","D","","D","","D","","D","","D","","D","","D","","B","","A","","B"
"19","","?","0","","C","","D","","D","","D","","B","","C","","B","","A","","C","","C","","D","","C","","C","","C","","C","","C","","C","","D","","D","","D","","D","","D","","B","","B","","B"
"20","","?","0","","C","","E","","D","","D","","A","","D","","C","","A","","C","","B","","D","","B","","B","","B","","D","","B","","C","","E","","D","","D","","D","","D","","C","","A","","D"
"21","","?","0","","C","","B","","B","","D","","C","","C","","C","","A","","D","","B","","D","","B","","C","","B","","D","","C","","C","","D","","D","","D","","D","","D","","B","","B","","B"
"22","","?","0","","C","","A","","D","","C","","B","","B","","B","","A","","B","","B","","C","","B","","C","","B","","E","","C","","C","","D","","D","","D","","D","","D","","B","","B","","B"
"24","","?","0","","B","","B","","D","","D","","C","","B","","B","","A","","D","","C","","D","","C","","D","","C","","D","","A","","C","","D","","D","","D","","D","","D","","A","","B","","B"
"25","","?","0","","B","","C","","D","","D","","B","","D","","A","","B","","D","","C","","D","","C","","B","","B","","D","","C","","D","","D","","D","","D","","D","","D","","C","","A","","C"
"26","","?","0","","B","","B","","D","","B","","B","","B","","C","","E","","E","","C","","B","","B","","E","","B","","E","","E","","B","","C","","D","","D","","D","","D","","B","","B","","B"
"27","","?","0","","D","","B","","D","","D","","A","","B","","C","","A","","C","","A","","D","","C","","C","","B","","C","","C","","C","","D","","D","","C","","D","","D","","C","","B","","C"
"28","","?","0","","C","","C","","D","","D","","C","","C","","D","","A","","D","","D","","D","","C","","D","","C","","D","","B","","C","","D","","D","","D","","D","","D","","C","","A","","B"
"29","","?","0","","B","","D","","D","","D","","B","","C","","A","","B","","C","","A","","D","","D","","D","","B","","C","","B","","C","","D","","D","","D","","D","","D","","A","","B","","B"
"30","","?","0","","C","","C","","D","","D","","C","","C","","E","","E","","E","","D","","C","","B","","D","","B","","D","","B","","B","","D","","D","","D","","D","","D","","B","","C","","B"
"31","","?","0","","B","","D","","D","","D","","B","","B","","B","","A","","B","","B","","D","","B","","C","","B","","D","","B","","C","","D","","D","","D","","D","","D","","A","","B","","B"
"32","","?","0","","B","","E","","D","","D","","C","","B","","B","","A","","B","","A","","D","","D","","E","","C","","D","","B","","D","","D","","D","","D","","D","","D","","A","","A","","B"
"33","","?","0","","B","","C","","D","","D","","A","","B","","C","","A","","B","","C","","D","","C","","B","","C","","D","","D","","D","","D","","D","","D","","D","","D","","A","","B","","B"
"34","","?","0","","B","","E","","D","","D","","C","","B","","A","","A","","E","","A","","D","","B","","E","","E","","E","","B","","C","","E","","D","","D","","D","","D","","C","","B","","B"
"35","","?","0","","B","","B","","D","","D","","B","","B","","B","","A","","A","","B","","D","","B","","C","","B","","C","","B","","C","","D","","D","","D","","D","","D","","B","","B","","B"
"36","","?","0","","B","","B","","D","","D","","C","","E","","B","","B","","C","","B","","C","","C","","D","","C","","D","","C","","C","","D","","D","","D","","D","","D","","B","","A","","B"
"37","","?","0","","A","","D","","D","","D","","C","","C","","D","","A","","A","","B","","D","","B","","E","","B","","E","","B","","C","","D","","D","","D","","D","","D","","C","","B","","B"
"38","","?","0","","B","","E","","D","","D","","D","","D","","B","","B","","C","","B","","D","","B","","D","","B","","D","","B","","B","","D","","D","","D","","D","","D","","A","","B","","B"
"39","","?","0","","C","","C","","C","","C","","C","","C","","C","","A","","B","","E","","D","","C","","C","","C","","D","","B","","C","","D","","D","","D","","D","","D","","B","","A","","C"
