
                 N      mean        sd  skewness         P     r(it)    r(it)i
latent01       206      2.38      .804     -.166        46      .451      .315
latent02       230      2.51      .943     -.053        50      .377      .205
latent03       233      3.73        .5     -1.64        91      .194      .108
latent04       221      2.41      .967      .039        47       .64      .504
latent05       223      2.18       .97      .259        39       .29      .107
latent06       236       1.6      .821      1.22        20      .658      .554
latent07       221      2.67      1.05     -.264        56      .738      .628
latent08       182      1.96      .882      .511        32      .556      .431
latent09       228      2.72      .864     -.544        57      .646      .534
latent10       201       1.8      .927      .781        27       .76      .676
latent11       221      2.04      .765      .421        35      .184      .042
latent12       227      2.36      .826      .283        45       .62      .512
